nev1; nev2; ho; nap;
Nárcisz; ; 10; 29;
Alfonz; ; 10; 30;
Farkas; ; 10; 31;
Marianna; ; 11; 1;
Achilles; ; 11; 2;
Győző; ; 11; 3;
Károly; ; 11; 4;
Imre; ; 11; 5;
Lénárd; ; 11; 6;
Rezső; ; 11; 7;
Zsombor; ; 11; 8;
Tivadar; ; 11; 9;
Réka; ; 11; 10;
Márton; ; 11; 11;
Jónás; Renátó; 11; 12;
Szilvia; ; 11; 13;
Aliz; ; 11; 14;
Albert; Lipót; 11; 15;
Ödön; ; 11; 16;
Hortenzia; Gergő; 11; 17;
Jenő; ; 11; 18;
Erzsébet; ; 11; 19;
Jolán; ; 11; 20;
Olivér; ; 11; 21;
Cecília; ; 11; 22;
Kelemen; Klementína; 11; 23;
Emma; ; 11; 24;
Katalin; ; 11; 25;
Virág; ; 11; 26;
Virgil; ; 11; 27;
Stefánia; ; 11; 28;
Taksony; ; 11; 29;
András; Andor; 11; 30;
Elza; ; 12; 1;
Melinda; Vivienn; 12; 2;
Ferenc; Olívia; 12; 3;
Borbála; Barbara; 12; 4;
Vilma; ; 12; 5;
Miklós; ; 12; 6;
Ambrus; ; 12; 7;
Mária; ; 12; 8;
Natália; ; 12; 9;
Judit; ; 12; 10;
Árpád; ; 12; 11;
Gabriella; ; 12; 12;
Luca; Otília; 12; 13;
Szilárda; ; 12; 14;
Valér; ; 12; 15;
Etelka; Aletta; 12; 16;
Lázár; Olimpia; 12; 17;
Auguszta; ; 12; 18;
Viola; ; 12; 19;
Teofil; ; 12; 20;
Tamás; ; 12; 21;
Zénó; ; 12; 22;
Viktória; ; 12; 23;
Ádám; Éva; 12; 24;
Karácsony; Eugénia; 12; 25;
Karácsony; István; 12; 26;
János; ; 12; 27;
Kamilla; ; 12; 28;
Tamás; Tamara; 12; 29;
Dávid; ; 12; 30;
Szilveszter; ; 12; 31;
